time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
992,6.45,60,1.1974189000000002,7076,116,0.27384447306394577,0.17637204844504595,0.001,6974,,
996,6.51,61,1.17188797,7105,116,0.32447030767798424,0.15090239979326725,0.001,7003,,
1000,6.66,61,1.22010567,7147,116,0.2676060901333888,0.21937388046221298,0.001,7040,,
1004,6.58,61,1.26207099,7168,116,0.25157422324021655,0.19223746359348298,0.001,7066,,
1008,6.6,61,1.28779341,7190,116,0.2658301889896393,0.12424235343933106,0.001,7086,,
1012,6.58,61,1.27222859,7215,116,0.42726831138134,0.2219940334558487,0.001,7113,,
1016,6.57,62,1.3186721600000002,7238,116,0.4095408320426941,0.14499858915805816,0.001,7133,,
1020,6.62,62,1.2886101200000002,7266,116,0.2687141075730324,0.19488467648625374,0.001,7158,,
1024,6.55,62,1.29622044,7287,116,0.24327676743268967,0.20913920179009438,0.001,7185,,
1028,6.42,62,1.2704255399999997,7304,116,0.26178717613220215,0.158464090898633,0.001,7202,,
1032,6.39,62,1.3142774600000002,7329,116,0.3278518319129944,0.1679063469171524,0.001,7225,,
1036,6.52,63,1.3126441199999999,7368,116,0.22138231806457043,0.1676103174686432,0.001,7262,,
1040,6.54,63,1.3249209800000006,7390,116,0.2680063545703888,0.20734935104846955,0.001,7288,,
1044,6.55,63,1.34678923,7417,116,0.20048650059228143,0.17110881507396697,0.001,7312,,
1048,6.48,63,1.35219308,7436,116,0.50199094414711,0.18789571523666382,0.001,7335,,
1052,6.43,63,1.33356862,7460,116,0.14219338539987803,0.18150419183075428,0.001,7358,,
1056,6.52,64,1.3587546599999998,7489,116,0.16083401627838612,0.21105819642543794,0.001,7383,,
1060,6.54,64,1.4562030000000004,7520,116,0.1874240655452013,0.13369053304195405,0.001,7411,,
1064,6.55,64,1.4417653200000005,7546,116,0.27428040156761807,0.16428422555327415,0.001,7441,,
1068,6.6,64,1.4848780300000002,7571,116,0.23412899672985077,0.13685842603445053,0.001,7469,,
1072,6.48,65,1.4984473299999999,7589,116,0.2996467351913452,0.2086360640823841,0.001,7488,,
1076,6.48,65,1.5512837299999997,7615,116,0.2347540152259171,0.27456014752388,0.001,7511,,
1080,6.6,65,1.6057427499999997,7647,116,0.38650648295879364,0.14556744694709778,0.001,7538,,
1084,6.59,65,1.55376317,7671,116,0.19026303042968115,0.20995699862639108,0.001,7569,,
1088,6.48,65,1.55083411,7694,116,0.2703585043549538,0.17973499993483225,0.001,7592,,
1092,6.4,66,1.5495563399999996,7716,116,0.31189919263124466,0.17452166761670793,0.001,7614,,
1096,6.35,66,1.5540867299999999,7740,116,0.11743142579992612,0.1867982308779444,0.001,7635,,
1100,6.28,66,1.50108854,7775,116,0.31347493827342987,0.16459798514842988,0.001,7671,,
1104,6.3,66,1.4707573300000005,7798,116,0.18823176249861717,0.14749672843350303,0.001,7697,,
1108,6.37,67,1.4870604,7827,116,0.09473081429799397,0.13258936256170273,0.001,7723,,
1112,6.36,67,1.51626777,7851,116,0.15106093059293926,0.12865510508418082,0.001,7749,,
1116,6.38,67,1.47776287,7876,116,0.14845868106931448,0.1961806161063058,0.001,7770,,
