time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
3664,51,596,-4.08462299,70,6.39,1.1785728931427002,0.0003,-18.85906982421875,3563,-5.7578887939453125,0.3485851585865021,,
3689,51,600,-4.073196579999999,71,6.41,1.4381921291351318,0.0003,-19.263736724853516,3588,-5.588372230529785,0.34607020020484924,,
3714,51,604,-4.037558219999999,71,6.43,1.445592999458313,0.0003,-19.34897804260254,3613,-5.738826751708984,0.34355297684669495,,
3743,51,608,-4.0082606300000005,72,6.45,1.5325863361358643,0.0003,-19.671184539794922,3642,-5.774918556213379,0.3406384587287903,,
3776,51,612,-4.08840098,72,6.59,1.2069216966629028,0.0003,-19.981746673583984,3675,-5.584630966186523,0.33733025193214417,,
3792,51,616,-4.01657919,73,6.44,1.123964786529541,0.0003,-20.023395538330078,3691,-5.522383213043213,0.3357265889644623,,
3813,51,620,-4.059697099999999,73,6.43,1.3973803520202637,0.0003,-20.340978622436523,3712,-5.935310363769531,0.33362236618995667,,
3832,51,624,-4.0626390699999995,74,6.4,1.5865600109100342,0.0003,-20.844009399414062,3731,-6.046144485473633,0.33171775937080383,,
3857,51,628,-4.139036529999999,74,6.47,0.9957142472267151,0.0003,-20.885190963745117,3756,-6.1540069580078125,0.3292289972305298,,
3884,51,632,-4.10337179,75,6.4,1.323148488998413,0.0003,-21.068058013916016,3783,-5.773200988769531,0.32656627893447876,,
3911,51,636,-4.02038403,75,6.38,1.035435438156128,0.0003,-20.85837173461914,3810,-5.166220664978027,0.3239274024963379,,
3937,51,640,-3.9681485100000002,76,6.4,1.1994191408157349,0.0003,-21.29022216796875,3836,-5.607321739196777,0.32140469551086426,,
3962,51,644,-3.9406235799999996,76,6.46,1.4108781814575195,0.0003,-20.9387264251709,3861,-6.041647434234619,0.31900718808174133,,
